,,,,,,,
Code,CoE,Category,Description,Main uses,URLs,Owner,OSS?
Cube,POP,Tool: Performance,"performance report explorer for Scalasca and Score-P,  a generic tool for displaying a multi-dimensional performance space consisting of the dimensions (i) performance metric, (ii) call path, and (iii) system resource",Performance measurements: performance report explorer,https://www.scalasca.org/software/cube-4.x/,JSC,Y
Dimemas,POP,Tool: Performance,"Dimemas is a performance analysis tool for message-passing programs. It enables the user to develop and tune parallel applications on a workstation, while providing an accurate prediction of their performance on the parallel target machine.",Performance measurements for message-passing programs,https://tools.bsc.es/dimemas https://github.com/bsc-performance-tools/dimemas,BSC,Y
EC-Earth4,ESiWACE3,Climate,"Earth System Model, Climate Model, Multi-physics and multi-components coupled model","Climate projections, climate predictions, process studies",https://ec-earth.org,EC-Earth consortium,
ELMER/ICE,ChEESE,"Workflow: Multi-physics
"," based on the open source multiphysics Finite Element Model (FEM) package Elmer. Elmer is an established multiphysics package that builds on the MPI/OpenMP parallel paradigm to solve coupled visco-elastic - Reynolds flow types of model able to represent Glacier Outburst Floods (GLOFs). Interfaces to Hypre, Trilinos, MUMPS and AMGX (Nvidia) exist","Glaciers, Ice-flow, permafrost and groundwater","https://github.com/ElmerCSC/elmerfem, http://www.elmerfem.org/blog/",CSC,Y
ESPResSo,MultiXSCale,"Molecular dynamics, Soft matter","molecular dynamics, Monte Carlo methods, lattice-Boltzmann hydrodynamics, diffusion-
advection-reaction methods, electrostatics, magnetostatics, fast Fourier transform (FFT)","MultiXscale-relevant applications: ionic liquids, supercapacitors, polymers,
polyelectrolytes, charged colloids, fluid dynamics, biophysics, process engineering

other applications: magnetic gels, magnetic colloids, non-Newtonian fluids, water-oil
interfaces, self-propelled bacteria, red blood cells, soot particle agglomeration","official website: https://espressomd.org/wordpress/
code repository: https://github.com/espressomd/espresso","The ESPResSo project (Institute for Computational Physics, University of Stuttgart, Stuttgart, Germany)",Y
EESSI,MultiXScale,Tool: Software distribution,"The European Environment for Scientific Software Installations (EESSI) is a collaboration between different HPC sites and industry partners, with the common goal of setting up a shared repository of (optimized) scientific software installations that can be used on a variety of Linux systems, regardless of which (version of) Linux distribution or processor architecture is used.
It acts like a streaming service for scientific software, using a spectrum of open source software to provide a robust, low-threshold, high-impact solution. It supports a wide range of CPU architectures, and is architecture-aware within the user interface.",,"https://github.com/EESSI

https://www.eessi.io/",,Y
ExaHyPE,ChEESE,Seismology,"solves hyperbolic PDE systems by using high-order discontinuous Galerkin discretisation (DG, with ADER time stepping) on tree-structured dynamically adaptive Cartesian meshes. Within ChEESE-2P special emphasis is given to ExaSeis, the collection of seismic models in ExaHyPE (in particular seismic wave propagation and dynamic rupture on curvilinear meshes), on shallow-water models and on ExaHyPE’s integration with the MIT Uncertainty Quantification (MUQ) library for uncertainty quantification problems. ","
ExaSeis earthquake simulation model,
Landslide/tsunami model in development","www.exahype.org, https://gitlab.lrz.de/exahype","TUM, LMU, University of Durham",Y
Extrae,POP,Tool: Performance,package devoted to generate Paraver trace-files for a post-mortem analysis,Performance measurements,https://tools.bsc.es/extrae  https://github.com/bsc-performance-tools/extrae,BSC,Y
FALL3D,ChEESE,Atmospheric transport," off-line Eulerian model for the atmospheric transport and ground deposition of particles, aerosols and radionuclides. The model solves a set of Advection Diffusion Sedimentation (ADS) equations on a structured terrain-following grid using a finite volume (FV) explicit scheme. The model is mainly used for capacity runs (probabilistic hazard assessment) and urgent computing forecasts.",Forecast and reanalyses of atmospheric dispersal phenomena,https://gitlab.com/fall3d-suite/fall3d-gpu,CSIC / INGV,Y
FDO4ESM,ESiWACE3,Tool: Data management,FDO4ESM will be a software package to apply FDO requirements to ESM output data according to the specifications developed within in Task 3.3,Ensuring (global) machine actionability of ESM output data to enable automated analysis. ,n/a (package to be developed),DKRZ,
FIL,SPACE,Astro-physics,"State-of-the  art simulations of Binary Neutron Star and Neutron Star - Black Hole mergers with the modelling of Gravitational Wave signals, magnetic field turbulence and properties of the ejected matter.","Magnetised fluids in dynamical, strongly curved spacetimes","https://www.space-coe.eu/codes.php#fil


","Responsible Partner: GUF
Main developer:   Zach Etienne, Elias Most,
Luciano Rezzolla
",Y
FLEUR,MaX,Quantum mechanics,all-electron density functional theory code based on the full-potential linearized augmented plane wave (FLAPW) method,"electronically and magnetically complex materials, for example materials involving transition metals, heavy or rare-earth elements and thus is frequently used to calculate magnetic or spin-dependent properties in metals or complex oxide materials",https://iffgit.fz-juelich.de/fleur/fleur,FZ Jülich,
FLEW,EXCELLERAT,CFD,"High-order finite-difference solver for 
compressible flow simulations.
Complex geometries are handled 
through the use of structured 
body-fitted meshes in a generalized 
curvilinear coordinate system.  ",Aeronautical applications,"The code will go open source
before the end of the project.","Sapienza University of 
Rome",N
FLEXI,CEEC,CFD,"high-order accurate solver for general PDEs of hyperbolic/parabolic-type based on the discontinuous variant of the spectral element method (SEM), the discontinuous Galerkin (DG) and spectral element method (DGSEM)","Engineering applications (DNS, LES, turbulent flows, shock-turbulence interactions)",https://github.com/flexi-framework/flexi https://numericsresearchgroup.org/flexi_index.html,"Numerics Research Group (NRG) lead by Prof. Claus-Dieter Munz,  Institute of Aerodynamics and Gasdynamics at the University of Stuttgart, Germany.",Y
GENE,Plasma-PEPSC,Plasma physics,"GENE is a gyrokinetic turbulence code that can quantitatively describe the underlying
physical processes, and it has been successfully compared to experimental data from existing
mid-scale fusion devices numerous times.",Magnetically Confined Plasmas,https://gitlab.mpcdf.mpg.de/users/sign_in,"Max-Planck Institute for Plasma Physics, Max Planck Computing and Data Facility",Y
GROMACS,BioExcel,Molecular dynamics,GROMACS is a molecular simulation suite,"Biomedical (biomolecules), polymers, nanoflow","https://www.gromacs.org
https://gitlab.com/gromacs/gromacs.git",Project lead: KTH,Y
Gysela-X,EoCoE,Plasma physics,GYSELA-X is a flux-driven full-f nonlinear gyrokinetic code that simulates plasma turbulence and transport from the core to the edge of Tokamak devices.,"Tokamak devices, plasma physics, turbulence",https://gyselax.github.io/,CEA - IRFM,Y
HADDOCK3,BioExcel,Molecular dynamics,"HADDOCK (High Ambiguity Driven protein-protein DOCKing) is an information-driven flexible docking approach for the modeling of biomolecular complexes.
",biomolecular complexes,https://www.bonvinlab.org/haddock3/intro.html,"Bijvoet Center for Biomolecular Research, U. Utrecht",Y
HySEA,ChEESE,Seismology,"a suite composed of several codes for tsunami simulations, including seismic sources and landslide generated tsunamis or meteotsunamis, with and without dispersion, and with the hydrodynamic model being a one-layer shallow water model or implementing a multilayer approach in order to capture a more complex vertical structure of the simulated solutions. ","Simulation of earthquake generated tsunamis, aerial or submarine landslide-generated tsunamis and meteo-tsunamis ",https://edanya.uma.es/hysea/index.php/download,UMA,Y
ICON,ESiWACE3,Climate,Climate and Weather prediction model used in production for NWP (DWD) and scientific applications,"German weather forcase at DWD, scientifc application in many institutions across Germany, part of the national earth simulation modelling strategy",https://code.mpimet.mpg.de/projects/iconpublic,"MPIMET Hamburg, DWD, KIT, DKRZ",Y?
IFS,ESiWACE3,Climate,Global weather prediction model used in operational numerical weather predictions at ECMWF,Operational weather predictions at ECMWF. Use for Extremes and Climate Digital Twins of Destination Earth. The open component (OpenIFS) is also used for climate simulations in EC-Earth,https://www.ecmwf.int/en/forecasts/documentation-and-support/changes-ecmwf-model,ECMWF,N
iPic3D,SPACE,Plasma physics,"Particle in cell method. Electrons and ions are described with computational particles and the electric, magnetic and    gravitational    field 
with eulerian or lagrangian grids.  Energy conserving  semi implicit scheme (ECsim).
","Plasma Physics, Astrophysics, Space weather, nuclear fusion",http://www.ipic3d.org,"Responsible Partner:
KU Leuven
Main developer:  Giovanni Lapenta



",Y
Kernel Tuner,ESiWACE3,Tool: Code optimisation,"Kernel Tuner simplifies the software development of  optimized and auto-tuned GPU programs, by enabling Python-based unit  testing of GPU code and making it easy to develop scripts for  auto-tuning GPU kernels. This also means no extensive changes and no new dependencies are 
required in the kernel code.
The kernels can still be compiled and used as normal from any host  programming language.

Kernel Tuner provides a comprehensive solution for  auto-tuning GPU programs, supporting auto-tuning of user-defined  parameters in both host and device code, supporting output verification 
of all benchmarked kernels during tuning, as well as many optimization  strategies to speed up the tuning process.",Performance optimization of GPU applications,https://github.com/kerneltuner/kernel_tuner,NLESC (Ben van Werkhoven),Y
LaMEM,ChEESE,Volcanic fluids," a parallel 3D numerical code that can be used to model various thermo-mechanical geodynamical processes such as mantle-lithosphere interaction, or the dynamics of magmatic systems, for rocks that have visco-elasto-plastic or (compressible) poroelastic rheologies. The code uses a marker-in-cell approach with a staggered finite difference discretization and is built on top of PETSc. A range of (Galerkin) multigrid and iterative solvers are available, for both linear and non-linear rheologies, using Picard and quasi-Newton solvers. LaMEM has been tested on a massively parallel MPI-cluster with 458,752 cores and has checkpointing/restarting capabilities.",Geodynamics.,"https://github.com/UniMainzGeo/LaMEM, https://www.geosciences.uni-mainz.de/geophysics-and-geodynamics/software/",UM,Y
LAMMPS,MultiXScale,Molecular dynamics,classical molecular dynamics code ,"simulating materials on atmoic, meso and macroscopic spatio-temporal scales, solid state materials, biomolecules, soft matter and coarse grained systems","https://github.com/lammps/lammps 

https://www.lammps.org",Sandia National Laboratories,Y
libNEGF,EoCoE,Quantum mechanics,"Non-equilibrium Green’s function library, combined with density functional theory (DFT) models of material properties to enable new advances in photovoltaics",Photovoltaics,https://github.com/libnegf/libnegf,University of Rome Tor Vergata ?,Y
m-AIA,EXCELLERAT,Multi-physics,"m-AIA (multi-physics AIA) is a multi-physics partial differential equation (PDE) solver framework with a focus on problems related to computational fluid dynamics, computational aeroacoustics and structural mechanics.",Engineering applications,The code will go open source in 2023.,RWTH,N
MAQAO,POP,Tool: Performance,performance analysis and optimization framework operating at binary level with a focus on core performance,Its main goal of is to guide application developpers along the optimization process through synthetic reports and hints,http://www.maqao.org/,UVSQ,Y
MERIC,POP,Tool: Energy consumption,Lightweight C/C++ library with Fortran interface for HPC applications dynamic behavior detection with a goal in energy consumption reduction - applying READEX approach,Energy consumption reduction,https://code.it4i.cz/vys0053/meric,IT4I,Y
MUST,POP,Tool: MPI optimization,MPI Runtime Correctness Analysis: MUST detects usage errors of the Message Passing Interface (MPI) and reports them to the user,MPI runtime correctness analysis,https://www.i12.rwth-aachen.de/go/id/nrbe,RWTH,Y
Nek5000,CEEC,CFD,"highly-efficient and scalable incompressible and low Mach flow solvers employing the Spectral Element Method, a high-order weighted residual technique for spatial discretization that can accurately represent complex geometries","CFD, complex geometries",https://github.com/Nek5000/Nek5000  https://nek5000.mcs.anl.gov/ ,"Argonne National Laboratory, Uchicago Argonne",Y
Neko,"CEEC, 
EXCELLERAT",CFD,"portable framework for high-order spectral element based simulations, focusing on the incompressible regime","Engineering applications (high-fidelity CFD, turbulence, hardware independent)","https://github.com/ExtremeFLOW/neko, https://neko.cfd/",KTH Royal Institute of Technology,Y
NekRS,CEEC,CFD,refactored and GPU oriented version of Nek5000,"CFD, complex geometries",https://github.com/Nek5000/nekRS  https://nek5000.mcs.anl.gov/ ,,Y
NEMO,ESiWACE3,"Climate, Ocean","Nucleus for European Modelling of the Ocean used for oceanographic, forecasting and climate studies which is developed by the NEMO European Consortium","Operational Seasonal Predictions  system, Global Ocean, Mediterranean and Black Sea Forecasting system and Reanalyses at CMCC",https://forge.nemo-ocean.eu/nemo/nemo/-/releases/4.2.1,Nemo Consortium,Y
Open GADGET,SPACE,Astro-physics,"N body simulations of cosmological volumes, galaxy clusters and isolated galaxies",Cosmological simulations of structure formation,https://wwwmpa.mpa-garching.mpg.de/galform/gadget,"Responsible Partners: INAF, LMU
Main developer: Klaus Dolag",Y
OpenFoam/Raysect,EXCELLERAT,CFD - heat radiation,"OpenFOAM - FVM solver for heat diffusion, Raysect Ray tracer for heat radiation based on Monte Carlo integration",Nuclear fusion,https://github.com/raysect https://develop.openfoam.com/Development/openfoam/-/wikis/precompiled,"OpenCFD Ltd (OpenFOAM), Alex Meakins (Raysect)",Y
OpenPDAC,ChEESE,"Atmospheric transport,
volcanic fluids"," an offline Eulerian-Lagrangian model for the simulation of volcanic fluids. The model solves the conservation equations of mass, momentum and energy for a Eulerian-Eulerian compressible multiphase mixture of gasses and fine (up to mm size) particles, and the Lagrangian transport equations for coarser solid particles. The solver is based on the equations of the PDAC model, ported and optimized on the open-source OpenFOAM C++ toolbox for Computational Fluid Dynamics (CFD).","Simulation of explosive eruption phenomena, including blasts, ash dispersal, pyroclastic flows, ballistic ejection",https://github.com/demichie/OpenPDAC-11,INGV,Y
Ophidia,ESiWACE3,Tool: Data analytics,High Performance Data Analytics,Data-intensive analysis exploiting advanced parallel computing techniques and smart data distribution methods,https://ophidia.cmcc.it,CMCC,Y
Paraver,POP,Tool: Performance,"Paraver - a flexible data browser - was developed to respond to the need to have a qualitative global perception of the application behavior by visual inspection and then to be able to focus on the detailed quantitative analysis of the problems. Expressive power, flexibility and the capability of efficiently handling large traces are key features addressed in the design of Paraver.",Performance measurements,https://tools.bsc.es/paraver https://github.com/bsc-performance-tools/wxparaver,BSC,Y
Parflow,EoCoE,"Workflow: CFD, groundwater","ParFlow is a parallel, integrated hydrology model that simulates spatially distributed surface and subsurface flow, as well as land surface processes including evapotranspiration and snow","Groundwater modelling framework, combined with the hydropower infrastructure management system HYPERstreamHS to provide high-resolution hydrological forecasting at the continental scale",https://parflow.org/ https://github.com/parflow/parflow,"Consortium of Juelich Research Centre, Princeton University, Lawrence Livermore National Laboratory, Colorado School of Mines, Bonn University, Washington State University, Syracuse University and the Universty Grenoble Alpes",Y
PIConGPU,Plasma-PEPSC,Plasma physics,"PIConGPU is a fully relativistic, manycore, 3D3V particle-in-cell (PIC) code. The Particle-in-Cell algorithm is a central tool in plasma physics. It describes the dynamics of a plasma by computing the motion of electrons and ions in the plasma based on Maxwell's equations.","Plasma Accelerators, High Energy Density Physics",https://github.com/ComputationalRadiationPhysics/picongpu,Helmholtz-Zentrum Dresden – Rossendorf ,Y
PLUTO,SPACE,Plasma physics,"Eulerian
AMR-HD/MHD/RMHD
code with lagrangian module to treat sub-grid electron physics, thermal emission from highly energetic particles and dust grains.
","Plasma physics, classical and relativistic magnetohydrody namics",http://plutocode.ph.unito.it,"Responsible Partner: UniTo
Main Developer: Andrea Mignone",Y
PMX,BioExcel,Tool: Pre- and postprocessing (Molecular simulations),PMX is a pre- and post-processing tool for free energy calculations performed with GROMACS MD engine.,"computational drug and protein design, pre- and postprocessing for GROMACS",http://pmx.mpibpc.mpg.de/,"Computational Biomolecular Dynamics group, MPINAT, Gottingen",Y
PSyclone,ESiWACE3,Tool: Code generation,"Code generation system and transformation system developed to support domain-specific languages (DSLs) for finite element, finite volume and finite difference codes","PSyclone allows to optimize the code for a particular architecture automatically (by providing optimisations such as blocking, loop merging, inlining etc) throught the generation of the PSy layer.",https://github.com/stfc/PSyclone,STFC,Y
pTatin3D,ChEESE,Geodynamics,"a software package designed for studying long time-scale processes relevant to geodynamics. Unique to this package is that it provides fast, parallel scalable matrix-free definitions for the Stokes operators which are utilized by a hybrid geometric-algebraic multigrid preconditioner. pTatin3D is built upon and heavily utilizes functionality from PETSc. pTatin3D has been used to study continental rifting, subduction and the dynamics of lava domes.",Geodynamics.,https://bitbucket.org/dmay/ptatin-total-dev,CNRS,Y
Quantum ESPRESSO,MaX,Quantum mechanics,"integrated suite of Open-Source computer codes for electronic-structure calculations and materials modeling at the nanoscale. It is based on density-functional theory, plane waves, and pseudopotentials."," many types of groundstate calculations: self-consistent energies, forces and
stresses, structural optimization, molecular dynamics (PW
and CP); search for transition pathways (NEB). 
the computation of the linear response to external perturbations. computing dielectric responses and
vibrational spectra (PHonon); optical, magnons, and EELS
spectra, using time-dependent DFT (TDDFPT); electronphonon coupling coefficients and related properties (EPW);
self consistent Hubbard correction parameters(HP)","https://github.com/QEF
https://www.quantum-espresso.org/","Quantum Espresso Foundation: SISSA, ICTP, CINECA, EPFL, Oden Institute, University of Texas at Austin",
RAMSES,SPACE,Astro-physics,"Eulerian, cosmology,
fully compressible, AMR (cell-by-cell), MHD, radiation hydrodynamics, cosmic rays, dust dynamics, particles (dark matter, stars, dust)
","Astrophysical systems, featuring
self-gravitating, magnetised, compressible, radiative fluid flows
",https://bitbucket. org/rteyssie/ramses,"Responsible Partner: CNRS/CRAL
Main developer: Romain Teyssier
",Y
RedSim,HiDALGO2,CFD,"Native multi-GPU CFD solver to simulate compressible fluids in 2D/3D unstructured polyhedral meshes. RedSim has an expressive Lua API. An integrated visualization tool, CFDR, enables web-based visualization of HPC runs.","Urban Air Project: airflow, urban wind comfort, urban air pollution. Industrial flows: acoustics, external flow ","https://github.com/matyas-constans/redsim-public/
https://portal.hidalgo2.eu/",SZE (Széchenyi István University),N
Renewable Energy Sources (RES),HiDALGO2,CFD workflow,EULAG model coupled with WRF and AI techniques,Forecast energy production from wind farms and photovoltaic system,https://www.hidalgo2.eu/renewable-energy-sources/,PSNC,N
Scalasca,POP,Tool: Performance,software tool that supports the performance optimization of parallel programs by measuring and analyzing their runtime behavior,Performance measurements: particularly for synchronization and communication ,https://www.scalasca.org/,JSC,Y
Score-P,POP,Tool: Performance,"tool suite for profiling and event tracing of HPC applications: works with Scalasca, Vampir, and Tau and is open for other tools","Performance measurements: profiling, event tracing",https://www.vi-hps.org/projects/score-p https://gitlab.com/score-p/scorep/-/blob/master/COPYING?ref_type=heads,JSC,Y
SeisSol,ChEESE,Seismology,"simulation of complex earthquake scenarios, supporting various rheologies (elastic, anisotropic-elastic, acoustic, viscoelastic, poroelastic), boundary conditions and dynamic rupture laws, uses high-order discontinuous Galerkin discretisation with an Arbitrary DERivative (ADER) local time stepping on unstructured adaptive tetrahedral meshes.",Simulation of complex earthquake and earthquake-tsunami events,"https://seissol.org/, https://github.com/SeisSol/SeisSol","TUM, LMU",Y
SIESTA,MaX,Quantum mechanics,"Pseudopotential-based density functional theory software whose strength lies in its use of atomic-like strictly-localised basis sets: the use of a ""good first approximation"" to the full problem decreases the number of basis functions needed to achieve a given accuracy, and the finite support of the orbitals leads to sparsity in the Hamiltonian and overlap matrices, thus enabling the use of reduced-scaling methods","Calculation of energies and forces, molecular-dynamics simulations, band structures, densities of states, spin-orbit couplings, van der Waals functionals,  DFT+U for correlated systems, real-time TDDFT. Partial support for hybrid functionals  and density-functional perturbation theory","https://gitlab.com/siesta-project/siesta

https://siesta-project.org/siesta/","CSIC, BSC, DTU, Univ. Autónoma de Madrid, ICN2, Univ. de Cantabria, Nanogune",
SOD2D,"CEEC, 
EXCELLERAT, 
EoCoE",CFD,"SOD2D solves compressible and incompressible fluid flow in three dimensions. The code is based on the spectral element method (SEM) and is designed to be used for scale-resolving simulations (LES and DNS). It is written in Fortran, and uses MPI and OpenACC to provide parallelism at both coarse and fine-grained levels. ",CFD,https://gitlab.com/bsc_sod2d/sod2d_gitlab,BSC,Y
SPECFEM3D,ChEESE,Seismology,"solves linear seismic wave propagation (elastic, viscoelastic, poroelastic, fluid-solid) and dynamic rupture problems in heterogeneous 3D models, and also implements imaging and FWI for such complex models based on an L-BFGS (Broyden-Fletcher-Goldfarb-Shanno) algorithm, based on the high-order spectral-element discretization for unstructured hexahedral meshes","Simulation of  earthquake  events, seismo-acoustic simulation and seismic imaging ","https://github.com/SPECFEM, https://specfem.org/",CNRS,Y
Tandem,ChEESE,Seismology,"scalable discontinuous Galerkin code on unstructured curvilinear grids for linear elasticity problems and sequences of earthquakes and aseismic slip. Tandem uses the symmetric interior penalty discontinuous Galerkin (SIPG) method to perform seismic cycle simulations accounting for the complex geometries and heterogeneity of the subsurface. Tandem simulates fault behavior over multiple seismic events and the intervening periods of aseismic deformation and considers all phases of earthquake faulting, from slow loading to earthquake nucleation, propagation and termination over time scales of milliseconds to millennia in a unified, self-consistent framework, opening new avenues to pursue extreme scale 3D earthquake cycle simulations.",Simulation of sequences of earthquakes and aseismic slip.,https://github.com/TEAR-ERC/tandem,LMU,Y
Urban Air Project (UAP-FOAM),HiDALGO2,CFD,"OpenFOAM based simulation framework for microscale (1 meter) urban air flow and air pollution analysis with multicomponent pollutant tracking, atmospheric flow simulation. It is integrated into UAP with automated post-processing, portal based deploying on several HPC systems.","Analysis and prediction of pollution dispersion scenarios: traffic emission spread, dispersion from point sources (factory, accidental or intentional poisonous gas release), and assessment of air quality.
Urban wind comfort computations.",https://hidalgo-project.eu/index.php/use-cases/pollution,SZE (Széchenyi István University),N
Urban Air Project (UAP),HiDALGO2,Workflow: CFD,"Application to simulate and analyse urban airflow and air pollution at very high resolution (1 meter at ground level). It integrates preprocessing from OpenStreetMap with meshing, and postprocessing with visualization.
Main components: UAP-Foam: OpenFOAM based simulation framework for urban scale simulation of pollution dispersion, RedSim.","Analysis and prediction of pollution dispersion scenarios: traffic emission spread, dispersion from point sources (factory, accidental or intentional poisonous gas release), and assessment of air quality.
Urban wind comfort computations.",https://hidalgo-project.eu/index.php/use-cases/pollution,SZE (Széchenyi István University),N
Urban Buildings (UB),HiDALGO2,Workflow: Multi-physics ,"Set of tools for the numerical simulation of buildings at the district/city level: geometry generation and multi-physics models (e.g. thermal, air quality, energy)",Building energy simulation from building to city scales and possibly beyond thanks to exascale,PUBLIC: https://github.com/feelpp/feelpp; https://github.com/feelpp/solar-shading; PRIVATE: https://github.com/feelpp/hidalgo2-urban-building; https://github.com/feelpp/ktirio,Unistra [Cemosis],Y
Vlasiator,Plasma-PEPSC,Plasma physics,"Vlasiator is the world’s first (and currently only) simulation code that is able to model Earth’s entire Magnetosphere  using a hybrid-Vlasov approach, in which the kinetics of ions are represented through their 6-dimensional phase space distribution
function.",Space Plasmas,"https://github.com/fmihpc/vlasiator

doi:10.5281/zenodo.3640594, https://www.helsinki.fi/en/researchgroups/vlasiator","U Helsinki, Finland; Finnish Meteorological Institute, Finland; CSC IT Center for Science, Finland. ",Y
waLBerla,"CEEC, 
MultiXScale",CFD,"multi-physics simulation software framework using Lattice-Boltzmann method, focus on scalability and large scale simulations","CFD, particle",https://www.walberla.net/index.html  https://i10git.cs.fau.de/walberla/walberla/-/blob/master/README.md,FAU (University Erlangen),Y
waLBerla-wind,EoCoE,CFD,fluid dynamics solver to achieve multiscaleoffshore and flat terrain onshore wind farms modeling,off and on shore wind farms modelling,https://www.ifpenergiesnouvelles.com/waLBerla-wind download same as walberla?,"IFPEN, Uni Erlangen-Nürnberg",Y
Wildfires (WF),HiDALGO2,Workflow: CFD,"Use case which implements the computational environment necessary for the simulation of wildfire-atmosphere
interactions and smoke dispersion at various scales","Assess the risk and potential impacts induced by mesoscale and microscale fire behaviour in the vicinity of and within wildland–urban interface (WUI) zones.
test
Test different wildfire scenarios for improved resilience and resistance through the development of best practice guidelines,
standards and protocols implemented at the local scale","PRIVATE:
https://gitlab.meteogrid.com/meteogrid/wrf_at_hpc/-/tree/develop/TEST/Vega?ref_type=heads","NCAR (WRF)
OpenCFD limited
EpicGames (unreal engine)
Meteogrid",
xyst,HiDALGO2,CFD,"Navier-Stokes solver for engineering problems with
unpredictable, heterogeneous, and dynamic compute-load distribution.","Engineering problems, environmental problems.",https://xyst.cc/,,Y
xSHELLS,ChEESE,Geodynamics,"hpc simulation code for rotating incompressible flows and magnetic fields in spherical geometries, including geodynamo simulations. Spherical harmonic transforms are combined with Finite Differences in radius to obtain a fast time-stepper.",simulation of Earth’s core and magnetic field; also liquid interior of other planets,https://gricad-gitlab.univ-grenoble-alpes.fr/schaeffn/xshells,CNRS,Y
YAMBO,MaX,Quantum mechanics,"implements ground-state as well as excited-state properties in an ab initio context. The code implements MBPT, DFT and Non-Equilibrium Green's Function Theory (NEGF)","reliable band gaps, band alignments, defect quasi-particle energies, optical and non--equilibrium properties","https://github.com/yambo-code/yambo

https://www.yambo-code.eu/",CNR?,
